Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,131.0,6L water,100 Bicep Curls,,,
,,3 Electrolyte Drink,100 Shoulder Press,,,
,,2 Black Coffee,60 Single Arm Row,,,
,,20 Almonds,60 Kettle Swings,,,
,,40 Cashews,8700 steps,,,
,,160 Pumpkin seeds,,,,
,,Radish Paratha,,,,
,133.4,Cod Liver Oil,60 Bicep Curls,06:00:00,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Rice and Chicken Gravy,60 Kettle Twists,,,
,131.6,8L water,100 Bicep Curls,,,
,,2 Black Coffee,100 Shoulder Press,,,
,,2 Electrolyte Drink,100 Lateral Raises,,,
,,Cod Liver Oil,20 Single Arm Row,,,
,,400 Pumpkin seeds,,,,
,,Chicken Wings,,,,
,134.2,Black Coffee,,,,
,,Electrolyte Drink,,,,
,,Cod Liver Oil,,,,
,,40 Almonds,,,,
,,4L water,,,,
,133.2,8L water,80 Bicep Curls,08:30:00,,
,,2 Black Coffee,60 Shoulder Press,22:00:00,,
,,2 Electrolyte Drink,60 Lateral Raises,,,
,,330 Pumpkin seeds,60 Kettle Twists,,,
,,Spinach,10000 steps,,,
,,Protein Shake,,,,
,,7 up Zero,,,,
,,Roasted Nuts,,,,
,136.2,,60 Bicep Curls,,,
,,,60 Shoulder Press,,,
,,,20 Lateral Raises,,,
,,,,,,
,,,,,,
,,,,,,
,134.0,8L water,100 Bicep Curls,06:00:00,,
,,2 Black Coffee,120 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Shoulder Raises,,,
,,Chicken Gravy,11300 steps,,,
,133.8,8L water,120 Bicep Curls,,,
,,2 Black Coffee,120 Shoulder Press,,,
,,Electrolyte Drink,120 Lateral Raises,,,
,,50 Pumpkin seeds,60 Kettle Twists,,,
,,20 Almonds,30 Kettle Swings,,,
,134.2,4L water,60 Bicep Curls,08:30:00,,
,,Electrolyte Drink,60 Shoulder Press,,,
,,Black Coffee,60 Kettle Twists,,,
,,150 Pumpkin Seeds,60 Kettle Swings,,,
,,Baby Leaves,14700 steps,,,
,,5 Chicken Drumsticks,,,,
,133.0,2 Black Coffee,60 Bicep Curls,,,
,,20 Pumpkin seeds,60 Kettle Twists,,,
,135.6,Black Coffee,80 Bicep Curls,06:00:00,Brush,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,Bath,
,,50 Pumpkin Seeds,60 Kettle Twists,,,
,,Baby Leaves,10900 steps,,,
,131.0,12L water,100 Bicep Curls,,,
,,2 Electrolyte Drink,100 Shoulder Press,,,
,,85 Almonds,60 Kettle Twists,,,
,129.6,4L water,100 Bicep Curls,,,
,,Electrolyte Drink,100 Shoulder Press,,,
,,Bulletproof Coffee,60 Shoulder Press,,,
,,90 Almonds,40 Kettle Swings,,,
,,,,,,
,,,,,,
,135.0,2 Black Coffee,60 Bicep Curls,06:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,7 up zero,100 Lateral Raises,,,
,,Vitamin Water,60 Single Arm Row,,,
,,10L water,60 Kettle Twists,,,
,,50 Pumpkin seeds,12300 steps,,,
,,Rice with pepper chicken,,,,
,135.0,Black Coffee,60 Bicep Curls,06:00:00,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,8L water,60 Single Arm Row,,,
,132.6,Black Coffee,100 Bicep Curls,,,
,,50 Pumpkin seeds,20 Single Arm Row,,,
,,20 Almonds,80 Kettle Twists,,,
,,Chicken Gravy,12600 steps,,,
,135.2,8L water,100 Bicep Curls,,,
,,Baby leaves,14400 steps,,,
