Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
,,Cod Liver Oil,40 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,
,,60 Almonds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,
,,Chicken Biryani,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,
2025-05-30,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation,45807
2025-05-31,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation,45808
2025-06-01,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation,45809
2025-06-04,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation,45812
2025-06-07,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation,45815
2025-05-03,158,Black Coffee,60 Bicep Curls,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine,45780
